ID	S_CONJ	S_HELPV	S_PRON	S_QUANT	S_QWORDS	S_TIME	S_WF_N	S_WF_V	S_WE_N	S_WE_V	S_COMPLX	D_AGE_C	D_MALE	D_AGE_C2
134420	0	0.19047619047619	0.16	0.0588235294117647	0.142857142857143	0.0833333333333333	0.4	0.2	0	0	0.108108108108108	5	1	25
134421	0.333333333333333	0.285714285714286	0.6	0.470588235294118	0.571428571428571	0.583333333333333	0.6	0.7	0	0	0.486486486486487	5	-1	25
134422	1	1	0.96	1	0.857142857142857	1	1	1	0	0.0645161290322581	1	5	-1	25
134423	1	0.80952380952381	0.68	0.705882352941177	0.714285714285714	0.5	0.6	0.65	0.214285714285714	0.193548387096774	1	5	1	25
134424	0.333333333333333	0.619047619047619	0.36	0.647058823529412	0.714285714285714	0.5	1	0.75	0.357142857142857	0.290322580645161	0.405405405405405	5	1	25
134425	0.166666666666667	0.523809523809524	0.76	0.588235294117647	0.714285714285714	0.5	0.6	0.35	0.0714285714285714	0.129032258064516	0.837837837837838	5	1	25
134426	0	0.285714285714286	0.24	0.0588235294117647	0.285714285714286	0	0.2	0.2	0.214285714285714	0	0.216216216216216	5	1	25
134427	0	0.0952380952380952	0.24	0.235294117647059	0.428571428571429	0.0833333333333333	0.6	0.4	0.357142857142857	0	0.486486486486487	5	-1	25
134428	1	1	1	1	1	1	1	1	0	0	1	5	-1	25
134429	0.166666666666667	0.523809523809524	0.64	0.588235294117647	0.285714285714286	0.666666666666667	0.8	0.55	0.0714285714285714	0	0.72972972972973	5	-1	25
134430	0.5	0.714285714285714	0.52	0.941176470588235	0.428571428571429	0.583333333333333	0.8	0.8	0	0	0.486486486486487	5	1	25
134431	0	0.142857142857143	0.4	0.705882352941177	0	0.666666666666667	0.6	0.1	0	0	0.189189189189189	5	1	25
134432	0	0.428571428571429	0.56	0.470588235294118	0.857142857142857	0.333333333333333	0.2	0.15	0	0	0.540540540540541	5	-1	25
134433	0.333333333333333	0.571428571428571	0.6	0.647058823529412	0.714285714285714	0.75	0.4	0.55	0	0.129032258064516	0.72972972972973	5	-1	25
134434	0.166666666666667	0.285714285714286	0.52	0.235294117647059	0	0.333333333333333	0.8	0.6	0.285714285714286	0.0645161290322581	0.513513513513513	5	1	25
134435	0.166666666666667	0.333333333333333	0.28	0.470588235294118	0.571428571428571	0.166666666666667	0.4	0.1	0	0	0.432432432432432	5	1	25
134436	0	0.0952380952380952	0.2	0.294117647058824	0.285714285714286	0	0.4	0.1	0	0	0.189189189189189	5	-1	25
134437	0.5	0.761904761904762	0.28	0.470588235294118	0.285714285714286	0.333333333333333	0.4	0.65	0	0.032258064516129	0.513513513513513	5	1	25
134438	0.5	0.714285714285714	0.64	0.764705882352941	1	0.666666666666667	0.8	0.7	0	0.0645161290322581	0.837837837837838	5	-1	25
134439	0.5	0.952380952380952	0.92	0.823529411764706	1	1	0.8	0.45	0	0	0.675675675675676	5	1	25
134440	1	1	1	1	1	1	1	1	0	0	0.972972972972973	5	1	25
134441	1	0.857142857142857	0.88	0.705882352941177	1	0.916666666666667	0.8	0.85	0	0.0645161290322581	1	5	1	25
