ID	L_ACTION	L_ANIMAL	L_BODYP	L_CLOTH	L_DESCRB	L_FOOD	L_ROOMS	L_GAMES	L_HOUSEH	L_LOCATE	L_OUTSDE	L_PEOPLE	L_PLACES	L_SOUNDS	L_TOYS	L_VEHICL	D_AGE_C	D_MALE	D_AGE_C2
133734	0.058252427184466	0.162790697674419	0.407407407407407	0.107142857142857	0.0634920634920635	0.176470588235294	0.0909090909090909	0.44	0.14	0.153846153846154	0.0967741935483871	0.206896551724138	0.0454545454545455	0.666666666666667	0.222222222222222	0.142857142857143	-7	1	49
133735	0	0	0	0	0	0	0	0.12	0	0	0	0.0689655172413793	0	0.166666666666667	0.0555555555555556	0	-7	1	49
133736	0	0.209302325581395	0.111111111111111	0.0714285714285714	0	0.0882352941176471	0	0.2	0.06	0	0.032258064516129	0.0689655172413793	0	0.75	0.222222222222222	0	-7	-1	49
133737	0.0194174757281553	0.325581395348837	0.296296296296296	0.142857142857143	0.0793650793650794	0.147058823529412	0.0909090909090909	0.4	0.2	0.0769230769230769	0.161290322580645	0.137931034482759	0.0909090909090909	0.833333333333333	0.222222222222222	0.285714285714286	-7	-1	49
133738	0.194174757281553	0.441860465116279	0.592592592592593	0.428571428571429	0.238095238095238	0.352941176470588	0.242424242424242	0.72	0.44	0.307692307692308	0.290322580645161	0.241379310344828	0.318181818181818	1	0.388888888888889	0.428571428571429	-7	-1	49
133739	0	0.0465116279069767	0.111111111111111	0	0.0158730158730159	0.0294117647058824	0	0.2	0.02	0	0	0.172413793103448	0	0.333333333333333	0.111111111111111	0	-7	-1	49
133740	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0.0555555555555556	0	-7	-1	49
133741	0	0.0465116279069767	0	0	0	0.0294117647058824	0	0.12	0	0	0.032258064516129	0.103448275862069	0	0.333333333333333	0.111111111111111	0	-7	1	49
133742	0	0	0	0	0.0158730158730159	0	0	0.12	0	0	0	0.137931034482759	0	0.0833333333333333	0.0555555555555556	0	-7	1	49
133743	0	0.162790697674419	0	0.107142857142857	0	0.132352941176471	0	0.16	0.02	0	0	0.275862068965517	0.136363636363636	0.5	0.277777777777778	0	-7	-1	49
133744	0	0	0.037037037037037	0	0	0	0	0.08	0	0	0	0.172413793103448	0	0.0833333333333333	0	0	-7	-1	49
133745	0.087378640776699	0.162790697674419	0.111111111111111	0	0.0476190476190476	0.0588235294117647	0	0.4	0	0	0	0.137931034482759	0	0.583333333333333	0.166666666666667	0.142857142857143	-7	1	49
133746	0	0.186046511627907	0.259259259259259	0.178571428571429	0.0158730158730159	0.161764705882353	0.0606060606060606	0.12	0.12	0	0.0645161290322581	0.0689655172413793	0	0.583333333333333	0.111111111111111	0.214285714285714	-7	-1	49
133747	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	-7	1	49
133748	0	0.0232558139534884	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	-7	1	49
133749	0.029126213592233	0.0930232558139535	0.111111111111111	0.0714285714285714	0.0476190476190476	0.132352941176471	0.0606060606060606	0.36	0.04	0.0769230769230769	0	0.103448275862069	0	0.666666666666667	0.222222222222222	0.0714285714285714	-7	1	49
133750	0.0194174757281553	0.0465116279069767	0.111111111111111	0.107142857142857	0.0158730158730159	0.0588235294117647	0.0303030303030303	0.2	0.04	0.115384615384615	0	0.275862068965517	0	0.416666666666667	0.0555555555555556	0	-7	1	49
133751	0	0.186046511627907	0	0.107142857142857	0	0.0588235294117647	0.0909090909090909	0.12	0.06	0.0769230769230769	0.0967741935483871	0.172413793103448	0.0454545454545455	0.25	0.277777777777778	0.214285714285714	-7	-1	49
133752	0	0.0465116279069767	0.111111111111111	0.0357142857142857	0.0317460317460317	0.0735294117647059	0	0.16	0.04	0.0384615384615385	0	0.172413793103448	0	0.5	0	0.142857142857143	-7	-1	49
133753	0.029126213592233	0.162790697674419	0.185185185185185	0.142857142857143	0.0317460317460317	0.0882352941176471	0.0303030303030303	0.36	0.06	0.0769230769230769	0.0967741935483871	0.103448275862069	0	0.666666666666667	0.222222222222222	0.357142857142857	-7	1	49
133754	0.058252427184466	0.302325581395349	0.185185185185185	0.142857142857143	0.0634920634920635	0.132352941176471	0	0.4	0.16	0.115384615384615	0.0645161290322581	0.172413793103448	0.0454545454545455	0.583333333333333	0.222222222222222	0.0714285714285714	-7	-1	49
133755	0.058252427184466	0.162790697674419	0.333333333333333	0.25	0.0317460317460317	0.176470588235294	0.151515151515152	0.36	0.12	0.153846153846154	0	0.172413793103448	0.0454545454545455	0.666666666666667	0.111111111111111	0.285714285714286	-7	1	49
133756	0	0.0232558139534884	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	-7	1	49
133757	0	0.0697674418604651	0	0	0.0158730158730159	0	0	0.12	0	0	0	0.0689655172413793	0	0.666666666666667	0.0555555555555556	0	-7	1	49
