demo.CandID,de.Administration,de.Date_taken,de.Examiner,de.language1_parent1,de.language1_parent1_pct,de.language1_parent2,de.language1_parent2_pct,de.language2_parent1,de.language2_parent1_pct,de.language2_parent2,de.language3_parent1,de.language3_parent1_pct,de.language3_parent2
764612,All,2018-09-13,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
536876,All,2018-11-19,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
657158,All,2018-10-30,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
945323,All,2018-10-30,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569511,All,2018-11-01,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318409,All,2018-11-02,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
780046,All,2018-11-02,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
513010,All,2018-11-05,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
736609,All,2018-11-08,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427732,All,2018-11-09,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251549,All,2018-11-26,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
640680,All,2018-11-27,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298032,All,2018-11-26,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100619,All,2019-01-22,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
680534,All,2019-01-22,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714783,All,2019-01-19,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
759162,All,2019-01-30,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999947,All,2019-02-01,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402408,All,2019-02-08,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456442,All,2019-02-22,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
648669,All,2019-03-05,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387450,All,2019-03-07,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
857459,All,2019-03-08,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236452,All,2019-03-29,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710741,All,2019-04-01,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102606,All,2019-04-04,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
907729,All,2019-04-08,Kristen Gault,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
611881,All,2019-04-17,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470437,All,2019-04-24,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
779253,All,2019-05-17,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
936900,All,2019-06-28,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
775707,All,2019-08-21,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
916411,All,2020-02-27,Sharlotte Irwin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
635063,All,2019-10-11,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
526810,All,2019-10-18,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
537180,All,2019-10-21,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
767612,All,2019-10-25,Rachel Roisum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
986700,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580160,All,2019-05-29,Grace David,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
