model,ID,age,ETA_L,ETA_S
3d,131781,24,0.807,0.44
3d,131782,29,1.215,1.127
3d,131783,19,0.105,-0.127
3d,131784,19,0.626,0.242
3d,131785,24,1.509,1.564
3d,131786,18,0.627,0.086
3d,131787,24,1.343,0.863
3d,131788,25,0.042,-0.249
3d,131789,24,1.665,2.115
3d,131790,27,0.346,0.438
3d,131791,25,0.584,0.207
3d,131792,26,-0.993,-0.712
3d,131793,24,-1.244,-0.646
3d,131796,18,-0.641,-0.205
3d,131797,26,0.951,1.034
3d,131798,30,1.238,1.872
3d,131799,18,0.814,0.518
3d,131800,30,0.987,1.391
3d,131801,19,-0.889,-0.249
3d,131802,24,0.607,0.482
3d,131803,24,0.29,0.901
3d,131804,30,1.029,1.541
3d,131805,19,-0.52,-0.106
3d,131806,25,0.47,0.005
3d,131807,30,1.241,0.811
3d,131808,30,-1.931,-1.15
3d,131809,24,-1.2,-0.59
3d,131810,30,-0.111,-0.638
3d,131811,24,-0.787,-0.606
3d,131812,30,-0.291,-0.42
3d,131813,19,-0.089,-0.092
3d,131814,24,0.797,0.249
3d,131815,21,-0.82,0.068
3d,131816,24,-0.228,-0.538
3d,131817,24,0.177,-0.183
3d,131818,30,1.203,1.068
3d,131819,19,1.193,1.382
3d,131820,30,1.323,1.754
3d,131821,19,-0.652,-0.344
3d,131822,24,0.567,0.348
3d,131823,30,0.93,1.195
3d,131824,18,1.028,1.211
3d,131825,24,-1.386,-0.677
3d,131826,30,-0.45,-0.702
3d,131827,20,0.054,-0.121
3d,131828,24,0.286,0.165
3d,131829,25,-1.542,-0.787
3d,131830,18,-0.286,-0.201
3d,131831,24,1.417,0.166
3d,131833,26,0.24,-0.146
3d,131834,29,1.244,1.051
3d,131835,21,-1.137,-0.428
3d,131836,29,0.345,-0.104
3d,131837,18,-1.257,-0.293
3d,131838,19,-1.245,-0.323
3d,131839,23,-1.255,-0.295
3d,131841,18,-0.973,-0.282
3d,131842,25,-0.592,-0.609
3d,131843,19,0.324,0.423
3d,131845,24,0.979,-0.089
3d,131846,20,-0.734,-0.326
3d,131847,24,-0.693,-0.097
3d,131849,20,-0.237,-0.138
3d,131850,25,0.292,0.029
3d,131852,25,-0.846,-0.729
3d,131854,24,-1.432,-0.63
3d,131855,27,1.178,0.99
3d,131856,19,-0.314,-0.06
3d,131857,24,1.324,1.629
3d,131858,30,1.434,2.23
3d,131859,18,0.103,0.066
3d,131860,24,1.058,0.3
3d,131861,30,0.91,1.076
3d,131862,20,-1.028,-0.41
3d,131863,25,-0.001,-0.252
3d,131864,20,-1.236,-0.445
3d,131865,24,-0.066,-0.61
3d,131867,18,-0.326,-0.132
3d,131868,24,0.494,-0.075
3d,131869,30,0.938,0.792
3d,131870,25,0.325,-0.537
3d,131871,19,-0.905,-0.255
3d,131872,25,-0.606,-0.549
3d,131873,25,-0.053,-0.471
3d,131874,19,-0.434,-0.204
3d,131875,24,0.628,0.233
3d,131876,30,0.906,1.523
3d,131877,20,1.23,0.628
3d,131878,24,1.495,1.761
3d,131879,30,1.227,1.245
3d,131880,23,1.471,1.118
3d,131881,19,0.262,0.031
3d,131882,30,1.295,1.169
3d,131883,24,1.073,0.471
3d,131884,24,-0.916,-0.598
3d,131885,30,0.126,0.431
3d,131886,19,-0.665,-0.254
3d,131887,24,0.476,0.096
3d,131888,30,0.7,0.597
3d,131889,18,-0.978,-0.218
3d,131890,24,1.083,0.7
3d,131891,18,-1.049,-0.297
3d,131892,20,-0.99,-0.273
3d,131893,24,-0.081,-0.279
3d,131894,19,-0.049,-0.003
3d,131895,24,0.669,0.242
3d,131897,24,0.529,0.433
3d,131898,19,-0.258,-0.225
3d,131899,24,0.857,0.283
3d,131900,30,1.226,1.361
3d,131901,19,-0.756,-0.096
3d,131902,24,-0.995,-0.288
3d,131903,19,0.139,-0.127
3d,131904,24,1.564,0.06
3d,131905,25,-0.706,-0.602
3d,131907,28,1.09,-0.169
3d,131908,30,0.658,0.356
3d,131909,25,-0.046,-0.281
3d,131911,24,-0.929,-0.579
3d,131912,24,0.914,1.307
3d,131913,18,-0.486,-0.132
3d,131914,18,0.478,-0.178
3d,131915,24,1.085,0.158
3d,131916,30,1.188,1.773
3d,131917,19,-0.545,-0.161
3d,131920,24,-1.35,-0.622
3d,131922,25,1.315,1.293
3d,131923,19,-0.904,-0.353
3d,131924,24,0.51,-0.424
3d,131925,30,1.34,1.553
3d,131926,25,0.375,0.009
3d,131928,19,0.354,-0.046
3d,131929,19,-0.05,-0.265
3d,131930,24,1.169,0.171
3d,131931,25,0.332,-0.313
3d,131932,29,1.078,1.367
3d,131933,20,-0.726,-0.109
3d,131934,18,-0.897,-0.221
3d,131935,25,0.099,-0.211
3d,131937,30,0.393,-0.31
3d,131938,18,-1.087,-0.297
3d,131939,24,-1.587,-0.731
3d,131940,30,-1.955,-1.165
3d,131941,25,-0.477,1.188
3d,131943,19,0.167,-0.029
3d,131944,30,1.038,1.646
3d,131945,18,0.519,-0.166
3d,131946,24,0.94,0.405
3d,131948,21,-0.774,-0.416
3d,131949,18,-0.188,0.006
3d,131950,24,1.317,0.623
3d,131951,18,0.009,-0.162
3d,131952,25,0.675,0.283
3d,131953,30,0.686,0.446
3d,131954,19,-1.001,-0.289
3d,131955,27,1.006,0.432
3d,131956,18,-0.197,-0.142
3d,131957,24,1.055,0.079
3d,131958,29,1.218,1.911
3d,131959,23,-0.005,-0.354
3d,131960,30,0.692,0.844
3d,131962,26,1.31,1.3
3d,131963,19,-0.507,-0.011
3d,131964,30,1.226,1.628
3d,131965,18,-0.791,-0.244
3d,131966,22,0.037,-0.393
3d,131967,29,1.359,1.742
3d,131968,19,-0.739,-0.207
3d,131969,24,0.133,0.457
3d,131970,30,0.809,1.232
3d,131971,24,-0.332,-0.419
3d,131972,29,0.516,0.183
3d,131973,18,-1.188,-0.265
3d,131974,30,-1.708,-0.74
3d,131975,24,0.646,0.131
3d,131976,19,0.396,0.079
3d,131977,24,1.147,0.562
3d,131978,30,1.161,1.783
3d,131979,24,0.912,0.414
3d,131980,24,-0.671,-0.523
3d,131982,21,-0.286,-0.198
3d,131983,24,-0.127,-0.045
3d,131985,24,-1.375,-0.715
3d,131986,30,-0.469,-0.681
3d,131987,18,-0.89,-0.195
3d,131988,24,-0.351,-0.125
3d,131989,18,0.616,0.096
3d,131990,18,-0.773,-0.119
3d,131991,25,0.199,-0.15
3d,131992,29,0.555,0.792
3d,131993,18,-1.102,-0.264
3d,131994,19,1.36,0.533
3d,131995,24,1.452,0.912
3d,131996,30,1.332,1.103
3d,131997,17,-0.021,0.394
3d,131998,24,1.777,2.018
3d,131999,29,1.506,1.872
3d,132000,20,0.166,-0.368
3d,132001,19,0.098,-0.039
3d,132002,25,1.563,1.259
3d,132003,18,-0.252,-0.043
3d,132004,24,0.633,-0.165
3d,132005,18,-0.92,-0.231
3d,132006,24,0.025,-0.554
3d,132008,22,0.356,-0.426
3d,132009,30,1.361,1.512
3d,132010,18,-0.802,-0.271
3d,132011,24,0.555,0.067
3d,132012,18,-1.069,-0.299
3d,132013,24,-0.306,-0.591
3d,132015,25,-1.139,-0.657
3d,132017,18,0.841,0.312
3d,132018,25,1.635,2.037
3d,132019,18,-0.613,-0.131
3d,132020,24,0.943,0.228
3d,132021,29,1.079,1.479
3d,132022,18,-0.349,-0.047
3d,132023,25,0.471,0.013
3d,132024,30,0.967,1.413
3d,132025,19,-0.967,-0.218
3d,132026,24,-0.894,-0.348
3d,132028,19,0.946,1.182
3d,132030,26,-1.029,-0.68
3d,132031,30,1.254,1.294
3d,132032,18,-0.422,-0.134
3d,132033,30,1.072,0.457
3d,132034,19,-0.81,-0.256
3d,132035,24,-0.09,-0.615
3d,132037,24,-1.32,-0.738
3d,132038,29,-1.017,-1.063
3d,132039,18,-0.996,-0.017
3d,132040,24,-0.037,0.017
3d,132041,30,1.163,1.926
3d,132042,27,1.509,2.064
3d,132043,19,-0.521,0.131
3d,132044,18,-1.191,-0.302
3d,132045,24,-1.137,-0.632
3d,132046,30,0.149,-0.277
3d,132047,18,-0.821,-0.248
3d,132048,24,-0.977,-0.676
3d,132049,30,0.047,-0.692
3d,132050,24,-0.901,-0.549
3d,132051,30,-0.334,-0.641
3d,132052,17,0.511,0.149
3d,132053,22,1.35,1.055
3d,132054,30,1.455,2.174
3d,132055,18,-0.818,-0.152
3d,132056,24,0.514,0.086
3d,132057,24,1.132,0.03
3d,132058,30,1.372,2.125
3d,132059,25,-0.09,-0.607
3d,132060,19,-1.021,-0.286
3d,132061,25,0.237,-0.36
3d,132062,30,1.011,0.802
3d,132063,19,-0.834,-0.326
3d,132064,25,0.586,0.171
3d,132065,29,0.807,0.903
3d,135018,25,1.679,2.187
3d,135019,26,1.114,1.15
3d,135020,24,0.95,1.003
3d,135021,26,-0.091,-0.671
3d,135022,24,0.353,-0.144
3d,135023,25,1.3,1.241
3d,135024,22,0.412,0.134
3d,135025,24,0.065,-0.204
3d,135026,25,-0.297,-0.494
3d,135027,26,-0.678,-0.572
3d,135028,25,-0.545,-0.556
3d,135029,26,1.265,1.336
3d,135030,25,-0.837,-0.707
3d,135031,26,1.304,1.905
3d,135032,25,1.17,1.06
3d,135033,26,-0.723,-0.718
3d,135034,24,1.126,0.459
3d,135035,25,-0.945,-0.695
3d,135036,24,1.275,1.741
3d,135037,25,-0.254,-0.338
3d,135038,25,0.456,0.307
3d,135039,25,0.831,0.826
3d,135040,25,1.596,2.467
3d,135041,25,0.281,0.054
3d,135042,26,-0.392,-0.744
3d,135043,24,1.341,1.728
3d,135044,24,0.523,0.226
3d,135045,24,0.941,-0.519
3d,135046,24,1.364,1.848
3d,135047,24,0.578,-0.306
3d,135048,24,0.271,-0.541
3d,135049,26,-0.887,-0.719
3d,135050,24,-0.606,0.619
3d,135051,28,0.246,-0.516
3d,135052,25,0.132,-0.481
3d,135053,24,-0.984,-0.6
3d,135054,24,-1.056,-0.644
3d,135055,25,1.265,0.498
3d,135056,23,1.587,1.451
3d,135057,25,0.945,-0.105
3d,135058,25,-1.416,-0.712
3d,135059,25,0.027,-0.445
3d,135060,23,-0.047,-0.254
3d,135061,26,-0.178,-0.658
3d,135062,26,-0.207,-0.188
3d,135063,25,0.865,0.591
3d,135064,25,0.714,0.317
3d,135065,24,0.883,1.158
3d,135066,26,0.27,-0.374
3d,135067,24,-0.407,0.709
3d,135068,24,1.18,1.172
3d,135069,25,-1.362,-0.72
3d,135070,24,-0.172,-0.669
3d,135071,24,0.076,0.106
3d,135072,24,-0.323,0.569
3d,135073,24,-1.527,-0.71
3d,135074,24,-0.407,-0.515
3d,135075,24,-0.649,-0.631
3d,135076,24,-0.281,-0.347
3d,135077,24,-0.976,-0.657
3d,135078,24,0.28,-0.166
3d,135079,25,0.375,-0.204
3d,135080,25,-0.71,-0.436
3d,135081,24,1.563,0.929
3d,135082,25,1.246,0.977
3d,135083,23,0.812,0.081
3d,135084,22,-0.147,-0.35
3d,135085,23,-0.974,-0.591
3d,135086,25,0.344,0.629
3d,135087,24,1.321,1.744
sex,131385,27,2.243,1.932
sex,131961,24,0.39,0.179
sex,133712,16,-2.747,-0.478
sex,133713,16,-2.808,-0.508
sex,133714,16,-2.301,-0.515
sex,133715,16,-2.824,-0.508
sex,133716,16,-2.723,-0.515
sex,133717,16,-2.742,-0.48
sex,133718,16,-2.365,-0.197
sex,133719,16,-2.212,-0.294
sex,133720,16,-2.577,-0.438
sex,133721,16,-2.677,-0.368
sex,133722,16,-2.481,-0.273
sex,133723,16,-1.769,-0.321
sex,133724,16,-2.642,-0.508
sex,133725,16,-2.148,-0.485
sex,133726,16,-1.513,-0.257
sex,133727,16,-1.924,-0.157
sex,133728,16,-2.909,-0.508
sex,133729,16,-2.911,-0.508
sex,133730,16,-2.485,-0.515
sex,133731,16,-2.277,-0.312
sex,133732,16,-2.672,-0.48
sex,133733,16,-2.867,-0.515
sex,133734,16,-2.023,-0.487
sex,133735,16,-2.882,-0.515
sex,133736,16,-2.544,-0.508
sex,133737,16,-1.931,-0.402
sex,133738,16,-0.712,-0.02
sex,133739,16,-2.718,-0.508
sex,133740,16,-2.924,-0.508
sex,133741,16,-2.795,-0.515
sex,133742,16,-2.854,-0.515
sex,133743,16,-2.465,-0.508
sex,133744,16,-2.865,-0.48
sex,133745,16,-2.53,-0.515
sex,133746,16,-2.324,-0.478
sex,133747,16,-2.953,-0.484
sex,133748,16,-2.943,-0.515
sex,133749,16,-2.433,-0.466
sex,133750,16,-2.558,-0.466
sex,133751,16,-2.39,-0.457
sex,133752,16,-2.652,-0.458
sex,133753,16,-2.275,-0.38
sex,133754,16,-2.154,-0.176
sex,133755,16,-2.051,-0.429
sex,133756,16,-2.943,-0.515
sex,133757,16,-2.833,-0.352
sex,133758,16,-2.688,-0.399
sex,133759,16,-2.15,-0.151
sex,133760,16,-2.871,-0.508
sex,133761,16,-2.805,-0.515
sex,133762,16,2.131,2.596
sex,133763,16,-2.874,-0.508
sex,133764,16,-2.486,-0.487
sex,133765,16,-2.304,-0.414
sex,133766,16,-2.742,-0.515
sex,133767,16,-2.921,-0.515
sex,133768,16,-2.7,-0.508
sex,133769,16,-0.499,-0.221
sex,133770,16,-2.692,-0.515
sex,133771,16,-2.849,-0.515
sex,133772,16,-2.604,-0.515
sex,133773,16,-2.659,-0.456
sex,133774,16,-2.379,-0.508
sex,133775,16,-2.523,-0.214
sex,133776,16,-2.793,-0.508
sex,133777,16,-2.829,-0.515
sex,133778,16,-2.597,-0.464
sex,133779,16,-2.693,-0.43
sex,133780,16,-2.68,-0.508
sex,133781,16,-2.44,-0.365
sex,133782,16,-2.253,-0.455
sex,133783,16,-2.897,-0.508
sex,133784,16,-2.679,-0.378
sex,133785,16,-1.707,-0.4
sex,133786,16,-0.863,-0.126
sex,133787,16,-2.718,-0.515
sex,133788,16,-1.821,-0.406
sex,133789,16,-2.539,-0.458
sex,133790,16,-2.921,-0.515
sex,133791,16,-2.759,-0.458
sex,133792,16,-2.592,-0.352
sex,133793,16,-1.535,-0.235
sex,133794,16,-2.508,0.001
sex,133795,16,-2.063,-0.421
sex,133796,16,-2.915,-0.515
sex,133797,16,-2.121,-0.515
sex,133798,16,-2.288,-0.302
sex,133799,16,-2.868,-0.508
sex,133800,16,-2.867,-0.43
sex,133801,16,0.773,-0.194
sex,133802,16,-2.954,-0.508
sex,133803,16,-2.22,-0.45
sex,133804,16,-2.575,-0.397
sex,133805,16,-2.891,-0.48
sex,133806,16,-2.781,-0.515
sex,133807,16,-2.556,-0.508
sex,133808,16,-2.34,-0.293
sex,133809,16,-2.746,-0.364
sex,133810,16,-2.034,-0.123
sex,133811,16,-2.603,-0.452
sex,133812,16,-2.581,-0.485
sex,133813,16,-2.748,-0.48
sex,133814,16,-2.925,-0.515
sex,133815,16,-2.087,-0.158
sex,133816,16,-2.55,-0.487
sex,133817,16,-2.891,-0.515
sex,133818,16,-2.906,-0.458
sex,133819,16,-2.879,-0.478
sex,133820,16,-2.724,-0.508
sex,133821,16,-1.058,-0.351
sex,133822,16,-2.873,-0.485
sex,133823,16,-1.133,-0.197
sex,133824,16,-2.125,-0.18
sex,133825,16,-1.15,-0.402
sex,133826,16,-2.922,-0.515
sex,133827,16,-2.912,-0.508
sex,133828,16,-2.797,-0.508
sex,133829,16,-2.829,-0.508
sex,133830,16,-2.098,-0.428
sex,133831,16,-2.786,-0.515
sex,133832,16,-1.762,-0.459
sex,133833,16,-2.841,-0.515
sex,133834,16,-2.657,-0.508
sex,133835,16,-2.739,-0.36
sex,133836,16,-2.241,-0.515
sex,133837,16,-2.861,-0.452
sex,133838,16,-2.822,-0.508
sex,133839,16,-2.874,-0.515
sex,133840,16,-2.708,-0.508
sex,133841,16,-2.353,-0.408
sex,133842,16,-2.795,-0.515
sex,133843,17,-2.813,-0.464
sex,133844,16,-2.734,-0.515
sex,133845,16,-2.762,-0.508
sex,133846,16,-2.589,-0.11
sex,133847,16,-2.67,-0.498
sex,133848,16,-2.799,-0.508
sex,133849,16,-2.13,-0.515
sex,133850,16,-2.236,-0.201
sex,133851,16,-2.319,-0.237
sex,133852,16,-2.9,-0.508
sex,133853,16,-2.892,-0.508
sex,133854,16,-2.258,-0.45
sex,133855,16,-2.827,-0.466
sex,133856,16,-2.329,-0.487
sex,133857,16,-2.477,-0.515
sex,133858,16,-2.719,-0.29
sex,133859,16,-2.817,-0.515
sex,133860,16,-2.034,-0.485
sex,133861,16,-2.71,-0.515
sex,133862,16,-2.52,-0.466
sex,133863,16,-2.154,-0.408
sex,133864,16,-2.345,-0.515
sex,133865,16,-2.858,-0.508
sex,133866,16,-2.634,-0.318
sex,133867,16,-2.808,-0.515
sex,133868,16,-2.784,-0.436
sex,133869,16,-2.438,-0.508
sex,133870,16,-2.637,-0.458
sex,133871,16,-2.524,-0.466
sex,133872,16,-2.905,-0.508
sex,133873,16,-2.176,-0.138
sex,133874,16,-1.996,-0.327
sex,133875,16,-2.645,-0.43
sex,133876,16,-2.748,-0.452
sex,133877,16,-1.424,-0.228
sex,133878,16,-2.91,-0.515
sex,133879,16,-2.834,-0.389
sex,133880,16,-2.272,-0.408
sex,133881,16,-2.409,-0.242
sex,133882,16,-2.702,-0.42
sex,133883,16,-2.88,-0.515
sex,133884,16,-2.917,-0.48
sex,133885,16,-2.822,-0.452
sex,133886,16,-2.777,-0.515
sex,133887,16,-2.407,-0.458
sex,133888,16,-2.476,-0.466
sex,133889,16,-2.915,-0.508
sex,133890,16,-2.579,-0.515
sex,133891,16,-2.524,-0.396
sex,133892,16,-2.879,-0.456
sex,133893,16,-2.807,-0.515
sex,133894,16,-2.58,-0.45
sex,133895,16,-1.371,-0.16
sex,133896,16,-2.01,-0.426
sex,133897,16,0.248,-0.054
sex,133898,16,-2.473,-0.508
sex,133899,16,-2.832,-0.48
sex,133900,16,-1.162,-0.399
sex,133901,16,-2.288,-0.478
sex,133902,16,-2.438,-0.487
sex,133903,16,-2.844,-0.515
sex,133904,16,-2.092,-0.204
sex,133905,16,-2.405,-0.255
sex,133906,16,-1.334,-0.448
sex,133907,16,-2.575,-0.389
sex,133908,16,-2.797,-0.466
sex,133909,16,-2.688,-0.399
sex,133910,16,-2.622,-0.386
sex,133911,16,-2.642,-0.487
sex,133912,16,-2.732,-0.48
sex,133913,16,-2.027,-0.327
sex,133914,16,-2.924,-0.508
sex,133915,16,-2.656,-0.515
sex,133916,16,-2.79,-0.515
sex,133917,16,-1.378,-0.286
sex,133918,16,-1.14,-0.318
sex,133919,16,-2.686,-0.348
sex,133920,16,-0.694,-0.323
sex,133921,16,-1.916,-0.368
sex,133922,16,-1.105,-0.458
sex,133923,16,-2.871,-0.508
sex,133924,16,-2.875,-0.508
sex,133925,16,0.993,1.195
sex,133926,16,-0.127,-0.22
sex,133927,16,0.37,-0.019
sex,133928,16,-2.335,-0.515
sex,133929,16,-2.74,-0.456
sex,133930,16,-2.416,-0.436
sex,133931,16,-1.752,-0.38
sex,133932,16,-2.715,-0.508
sex,133933,16,-2.569,-0.478
sex,133934,16,-2.887,-0.515
sex,133935,16,-2.653,-0.515
sex,133936,16,-2.551,-0.022
sex,133937,16,-2.888,-0.508
sex,133938,16,-2.788,-0.396
sex,133939,16,-2.808,-0.515
sex,133940,16,-2.445,-0.508
sex,133941,16,-2.677,-0.515
sex,133942,16,-1.468,-0.022
sex,133943,16,-2.725,-0.458
sex,133944,16,-2.948,-0.515
sex,133945,16,-2.225,-0.458
sex,133946,16,-1.369,-0.256
sex,133947,16,-2.471,-0.459
sex,133948,16,-2.262,0.013
sex,133949,16,-2.456,-0.508
sex,133950,16,-2.159,-0.23
sex,133951,16,-2.309,-0.45
sex,133952,16,-0.196,-0.211
sex,133953,16,-1.278,-0.13
sex,133954,16,-2.231,-0.498
sex,133955,16,-2.264,-0.436
sex,133956,16,-2.891,-0.515
sex,133957,16,-2.583,-0.485
sex,133958,16,-2.871,-0.515
sex,133959,16,-2.733,-0.487
sex,133960,16,-2.55,-0.466
sex,133961,16,-1.302,-0.258
sex,133962,16,-2.596,-0.459
sex,133963,16,-2.628,-0.436
sex,133964,16,-2.899,-0.515
sex,133965,16,-2.847,-0.487
sex,133966,16,-2.713,-0.515
sex,133967,16,-2.907,-0.48
sex,133968,16,-2.021,-0.485
sex,133969,16,-2.339,-0.458
sex,133970,16,-2.679,-0.456
sex,133971,16,-1.725,0.194
sex,133972,16,-2.796,-0.459
sex,133973,16,-2.166,-0.401
sex,133974,16,-2.826,-0.485
sex,133975,16,-2.334,-0.375
sex,133976,16,-2.794,-0.306
sex,133977,16,-2.871,-0.466
sex,133978,16,-2.652,-0.48
sex,133979,16,-2.776,-0.515
sex,133980,16,-2.205,-0.337
sex,133981,16,-1.497,-0.43
sex,133982,16,-2.899,-0.515
sex,133983,16,-1.932,-0.353
sex,133984,16,-2.887,-0.508
sex,133985,16,-2.473,-0.402
sex,133986,16,-2.431,-0.351
sex,133987,16,-2.419,-0.403
sex,133988,16,-2.898,-0.508
sex,133989,16,-2.699,-0.508
sex,133990,16,-2.402,-0.438
sex,133991,16,-2.89,-0.515
sex,133992,16,-2.744,-0.345
sex,133993,16,-2.681,-0.402
sex,133994,16,-2.636,-0.515
sex,133995,16,-1.076,-0.288
sex,133996,16,-2.782,-0.515
sex,133997,16,-2.322,-0.458
sex,133998,16,-2.805,-0.508
sex,133999,16,-0.573,-0.508
sex,134000,16,-2.453,-0.508
sex,134001,16,-2.529,-0.078
sex,134002,16,-2.186,-0.284
sex,134003,16,-1.187,-0.37
sex,134004,16,-2.873,-0.508
sex,134005,16,-2.954,-0.448
sex,134006,16,-2.833,-0.466
sex,134007,16,-2.545,-0.378
sex,134008,16,-2.75,-0.515
sex,134009,16,-2.394,-0.466
sex,134010,16,-2.907,-0.515
sex,134011,16,-1.867,-0.38
sex,134012,16,-2.673,-0.478
sex,134013,16,-1.337,-0.211
sex,134014,16,-2.936,-0.515
sex,134015,16,-2.919,-0.508
sex,134016,16,-2.892,-0.374
sex,134017,16,-0.426,0.7
sex,134018,16,-1.926,-0.457
sex,134019,16,-2.613,-0.515
sex,134020,16,-2.851,-0.508
sex,134021,16,-2.532,-0.351
sex,134022,16,-2.691,-0.429
sex,134023,16,-2.664,-0.459
sex,134024,16,-2.703,-0.428
sex,134025,16,-1.995,-0.274
sex,134026,16,-2.543,-0.398
sex,134027,16,-2.409,-0.422
sex,134028,16,-2.717,-0.37
sex,134029,16,-1.761,-0.299
sex,134030,16,-2.751,-0.43
sex,134031,16,-2.533,-0.478
sex,134032,16,-2.09,-0.402
sex,134033,16,-2.733,-0.515
sex,134034,16,-0.513,0.407
sex,134035,16,-2.891,-0.515
sex,134036,16,-1.371,-0.187
sex,134037,16,-1.527,-0.14
sex,134038,16,-2.724,-0.485
sex,134039,16,-2.707,-0.487
sex,134040,16,-2.012,-0.361
sex,134041,16,-2.566,-0.43
sex,134042,16,-2.423,-0.36
sex,134043,16,-2.025,-0.34
sex,134044,16,-2.831,-0.515
sex,134045,16,-2.666,-0.438
sex,134046,16,-1.671,-0.235
sex,134047,16,-2.524,-0.436
sex,134048,16,-1.329,-0.417
sex,134049,16,-2.524,-0.368
sex,134050,16,-2.914,-0.515
sex,134051,16,-1.82,-0.238
sex,134052,16,-2.427,-0.346
sex,134053,16,-2.362,-0.448
sex,134054,16,-2.345,-0.387
sex,134055,16,-2.371,-0.487
sex,134056,16,-2.633,-0.281
sex,134057,16,-2.721,-0.487
sex,134058,16,-2.726,-0.438
sex,134059,16,-2.597,-0.235
sex,134060,16,-1.004,-0.175
sex,134061,16,-2.897,-0.515
sex,134062,16,-2.686,-0.515
sex,134063,16,-2.785,-0.515
sex,134064,16,-2.643,-0.515
sex,134065,16,-1.634,-0.371
sex,134066,16,-1.991,-0.353
sex,134067,16,-2.165,-0.424
sex,134068,16,-1.452,-0.4
sex,134069,16,-2.328,-0.41
sex,134070,16,-2.922,-0.515
sex,134071,16,-1.972,-0.24
sex,134072,16,-2.361,-0.393
sex,134073,16,-1.055,-0.287
sex,134074,16,-2.957,-0.515
sex,134075,16,-2.412,-0.416
sex,134076,16,-2.831,-0.456
sex,134077,16,-2.55,-0.48
sex,134078,16,-2.804,-0.436
sex,134079,16,-2.756,-0.508
sex,134080,16,-2.938,-0.458
sex,134081,16,-2.814,-0.375
sex,134082,16,-2.803,-0.508
sex,134083,16,-2.458,-0.484
sex,134084,16,-2.88,-0.508
sex,134085,16,-2.131,-0.176
sex,134086,16,-2.744,-0.515
sex,134087,16,-2.131,-0.348
sex,134088,16,-2.464,-0.408
sex,134089,16,-1.97,-0.224
sex,134090,16,-2.638,-0.508
sex,134091,16,-2.526,-0.466
sex,134092,16,-2.879,-0.515
sex,134093,16,-2.899,-0.508
sex,134094,16,-0.698,-0.032
sex,134095,16,-2.762,-0.508
sex,134096,16,-0.524,-0.167
sex,134097,16,-2.651,-0.48
sex,134098,16,-2.242,-0.395
sex,134099,16,-2.719,-0.478
sex,134100,16,-2.914,-0.515
sex,134101,16,-2.554,-0.508
sex,134102,16,-1.458,-0.349
sex,134103,16,-2.762,-0.478
sex,134104,16,-2.914,-0.452
sex,134105,16,-2.03,-0.358
sex,134106,16,-1.847,-0.405
sex,134107,16,-2.289,-0.328
sex,134108,16,-2.809,-0.515
sex,134109,16,-2.889,-0.508
sex,134110,16,-2.334,-0.342
sex,134111,16,-2.741,-0.515
sex,134112,16,-2.323,-0.408
sex,134113,16,-2.928,-0.508
sex,134114,16,-2.562,-0.382
sex,134115,16,-2.867,-0.508
sex,134116,16,-2.394,-0.478
sex,134117,16,-2.566,-0.457
sex,134118,16,-1.751,-0.382
sex,134119,16,-1.662,-0.436
sex,134120,16,-2.614,-0.376
sex,134121,16,-1.609,-0.215
sex,134122,16,-2.513,-0.43
sex,134123,16,-2.481,-0.508
sex,134124,16,-2.831,-0.515
sex,134125,16,-2.548,-0.487
sex,134126,16,-2.533,-0.515
sex,134127,16,-2.791,-0.508
sex,134128,16,-2.145,-0.378
sex,134129,16,-1.315,-0.216
sex,134130,16,-2.836,-0.515
sex,134131,16,-2.252,-0.515
sex,134132,16,-2.689,-0.43
sex,134133,16,-2.278,-0.445
sex,134134,16,-2.204,-0.47
sex,134135,16,-2.556,-0.508
sex,134136,16,-2.778,-0.371
sex,134137,16,-2.842,-0.456
sex,134138,16,-2.96,-0.515
sex,134139,16,-2.423,-0.278
sex,134140,16,-2.838,-0.48
sex,134141,16,-1.198,-0.397
sex,134142,16,-1.647,-0.002
sex,134143,16,-2.601,-0.508
sex,134144,16,-2.781,-0.515
sex,134145,16,-1.769,-0.205
sex,134146,16,-2.865,-0.508
sex,134147,16,-2.656,-0.076
sex,134148,16,-2.565,-0.515
sex,134149,16,-1.627,-0.33
sex,134150,16,-2.595,-0.478
sex,134151,16,-2.41,-0.335
sex,134152,16,-2.327,-0.456
sex,134153,16,-2.912,-0.515
sex,134154,16,-2.688,-0.491
sex,134155,16,-2.364,-0.237
sex,134156,16,-2.786,-0.487
sex,134157,16,-2.836,-0.508
sex,134158,16,-2.415,-0.29
sex,134159,16,-2.194,-0.428
sex,134160,16,-2.622,-0.291
sex,134161,16,-2.118,-0.402
sex,134162,16,-2.218,-0.459
sex,134163,16,-2.495,-0.508
sex,134164,16,-2.875,-0.484
sex,134165,16,-2.253,-0.487
sex,134166,16,-2.709,-0.427
sex,134167,16,-2.621,-0.466
sex,134168,16,-2.734,-0.466
sex,134169,16,-2.76,-0.459
sex,134170,16,-2.795,-0.33
sex,134171,16,-2.878,-0.515
sex,134172,16,-2.833,-0.515
sex,134173,16,-2.778,-0.508
sex,134174,16,-2.11,-0.311
sex,134175,16,-2.799,-0.456
sex,134176,16,-2.428,-0.43
sex,134177,16,-2.576,-0.476
sex,134178,16,-2.722,-0.508
