ID	L_ACTION	L_ANIMAL	L_BODYP	L_CLOTH	L_DESCRB	L_FOOD	L_ROOMS	L_GAMES	L_HOUSEH	L_LOCATE	L_OUTSDE	L_PEOPLE	L_PLACES	L_SOUNDS	L_TOYS	L_VEHICL	D_AGE_C	D_AGE_C2	D_MALE	D_FIRSTB	D_MOMCOL	D_AGESEX	D_AG2SEX
130063	0.776699029126214	0.744186046511628	0.962962962962963	0.892857142857143	0.793650793650794	0.808823529411765	1	0.96	0.9	0.692307692307692	0.967741935483871	0.655172413793103	0.727272727272727	0.75	0.944444444444444	0.642857142857143	4	16	-1	1	1	-4	-16
130064	0.475728155339806	0.86046511627907	0.925925925925926	0.75	0.396825396825397	1	1	0.68	0.98	0.230769230769231	1	0.517241379310345	0.681818181818182	0.833333333333333	0.888888888888889	1	3	9	1	1	1	3	9
130065	0.970873786407767	0.674418604651163	0.962962962962963	0.857142857142857	0.920634920634921	0.985294117647059	1	1	0.98	1	0.967741935483871	0.931034482758621	0.545454545454545	1	0.888888888888889	1	4	16	1	1	-1	4	16
130066	0.475728155339806	0.767441860465116	0.851851851851852	0.571428571428571	0.444444444444444	0.617647058823529	0.424242424242424	0.8	0.68	0.346153846153846	0.645161290322581	0.482758620689655	0.272727272727273	1	0.722222222222222	0.785714285714286	-7	49	1	1	-1	-7	49
130067	1	1	0.962962962962963	1	1	1	1	1	0.96	0.884615384615385	1	1	1	1	1	1	5	25	1	-1	1	5	25
130068	0.00970873786407767	0.162790697674419	0.111111111111111	0	0.0476190476190476	0.0294117647058824	0	0.28	0	0	0.032258064516129	0.0689655172413793	0	0.166666666666667	0	0	-7	49	-1	-1	1	7	-49
130069	0.815533980582524	0.790697674418605	0.925925925925926	0.642857142857143	0.825396825396825	0.882352941176471	0.818181818181818	0.84	0.78	0.807692307692308	0.774193548387097	0.724137931034483	0.545454545454545	1	0.833333333333333	0.857142857142857	3	9	1	1	-1	3	9
130070	0.961165048543689	0.883720930232558	0.851851851851852	0.857142857142857	0.857142857142857	0.867647058823529	0.878787878787879	1	0.96	0.846153846153846	0.935483870967742	0.896551724137931	0.727272727272727	1	0.944444444444444	0.714285714285714	3	9	-1	1	1	-3	-9
130071	0.912621359223301	0.883720930232558	0.851851851851852	0.75	0.761904761904762	0.926470588235294	0.909090909090909	0.92	0.92	0.653846153846154	0.935483870967742	0.724137931034483	0.681818181818182	0.916666666666667	0.888888888888889	0.928571428571429	3	9	-1	-1	-1	-3	-9
130072	0.12621359223301	0.581395348837209	0.62962962962963	0.214285714285714	0.142857142857143	0.470588235294118	0.363636363636364	0.52	0.34	0.192307692307692	0.290322580645161	0.379310344827586	0.272727272727273	0.583333333333333	0.444444444444444	0.214285714285714	-5	25	-1	1	-1	5	-25
