     0.942     0.488     0.704     0.500     0.698     0.721     0.424     0.920     0.540     0.077     0.226     0.517     0.455     0.250     0.778     0.643    25.000    -1.000    -1.000129335.000     3.118
     0.835     1.000     0.889     0.857     0.603     1.000     0.697     0.960     0.800     0.308     0.710     0.862     0.818     0.917     0.944     1.000    24.000    -1.000     1.000129336.000     4.037
     0.291     0.581     0.481     0.393     0.175     0.647     0.576     0.480     0.600     0.346     0.419     0.690     0.409     0.917     0.611     0.786    18.000    -1.000     1.000129337.000     2.774
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.083     0.000     0.000    18.000    -1.000     1.000129338.000     0.873
     0.194     0.209     0.630     0.393     0.111     0.441     0.273     0.520     0.460     0.231     0.226     0.276     0.000     0.417     0.389     0.286    21.000    -1.000    -1.000129339.000     2.105
     0.029     0.047     0.037     0.036     0.016     0.059     0.000     0.240     0.020     0.000     0.032     0.138     0.045     0.250     0.056     0.000    22.000    -1.000     1.000129340.000     1.079
     0.029     0.419     0.259     0.321     0.111     0.515     0.273     0.200     0.380     0.038     0.097     0.138     0.227     0.500     0.389     0.286    27.000    -1.000    -1.000129341.000     1.983
     0.340     0.209     0.111     0.107     0.206     0.206     0.091     0.520     0.140     0.000     0.032     0.448     0.227     0.583     0.333     0.286    21.000    -1.000     1.000129342.000     1.669
     0.136     0.256     0.111     0.071     0.048     0.191     0.242     0.440     0.120     0.115     0.194     0.276     0.182     0.500     0.333     0.286    20.000    -1.000    -1.000129343.000     1.645
     0.427     0.581     0.852     0.536     0.492     0.632     0.636     0.840     0.600     0.385     0.613     0.586     0.455     0.917     0.833     0.714    24.000    -1.000    -1.000129344.000     3.263
     0.990     0.651     1.000     0.821     0.968     0.868     0.909     1.000     0.980     1.000     0.871     0.897     0.818     0.833     0.833     0.857    29.000    -1.000    -1.000129345.000     4.444
     0.194     0.186     0.556     0.286     0.143     0.309     0.152     0.280     0.260     0.000     0.161     0.207     0.227     0.333     0.389     0.214    25.000    -1.000    -1.000129346.000     1.868
     0.136     0.163     0.815     0.571     0.143     0.471     0.485     0.440     0.640     0.231     0.452     0.310     0.136     0.583     0.556     0.429    19.000    -1.000    -1.000129347.000     2.500
     0.126     0.442     0.259     0.250     0.111     0.426     0.152     0.440     0.140     0.077     0.129     0.241     0.182     0.583     0.333     0.357    27.000    -1.000     1.000129348.000     1.830
     0.311     0.000     0.556     0.143     0.286     0.176     0.242     0.360     0.380     0.346     0.387     0.379     0.318     0.583     0.222     0.286    24.000    -1.000     1.000129349.000     2.033
     0.252     0.186     0.852     0.393     0.000     0.441     0.667     0.280     0.860     0.154     0.226     0.345     0.273     0.083     0.444     0.429    27.000    -1.000     1.000129350.000     2.512
     0.000     0.093     0.963     0.429     0.063     1.000     0.848     0.840     0.700     0.423     0.387     0.586     0.455     0.417     0.611     0.714    29.000    -1.000     1.000129351.000     3.038
     0.252     0.279     0.370     0.179     0.048     0.279     0.152     0.440     0.140     0.269     0.032     0.310     0.182     0.750     0.389     0.071    20.000    -1.000    -1.000129352.000     1.719
     0.175     0.256     0.222     0.143     0.175     0.279     0.121     0.280     0.200     0.038     0.226     0.103     0.045     0.500     0.000     0.143    27.000    -1.000     1.000129353.000     1.583
     0.194     0.535     0.852     0.321     0.175     0.603     0.727     0.560     0.700     0.231     0.516     0.379     0.409     0.500     0.556     0.571    22.000    -1.000     1.000129354.000     2.789
     0.049     0.209     0.111     0.036     0.079     0.132     0.000     0.360     0.120     0.077     0.032     0.207     0.045     0.250     0.222     0.143    17.000    -1.000     1.000129355.000     1.263
     0.825     0.930     1.000     0.893     0.873     0.926     0.970     0.960     0.960     0.269     1.000     0.793     0.818     1.000     1.000     0.929    27.000    -1.000     1.000129356.000     4.384
     0.029     0.070     0.037     0.071     0.016     0.029     0.000     0.280     0.000     0.000     0.000     0.138     0.045     0.417     0.111     0.071    19.000    -1.000     1.000129357.000     1.072
     0.155     0.349     0.111     0.286     0.190     0.500     0.394     0.680     0.360     0.000     0.194     0.414     0.318     0.500     0.333     0.214    28.000    -1.000    -1.000129358.000     2.186
     0.553     0.163     0.704     0.464     0.397     0.662     0.667     0.560     0.860     0.154     0.548     0.552     0.409     0.083     0.444     0.500    25.000    -1.000    -1.000129359.000     3.038
     0.369     0.488     0.481     0.286     0.286     0.544     0.333     0.520     0.420     0.154     0.097     0.310     0.227     0.667     0.278     0.357    23.000    -1.000    -1.000129360.000     2.245
     0.019     0.023     0.037     0.071     0.000     0.015     0.000     0.120     0.020     0.000     0.032     0.103     0.000     0.250     0.056     0.000    22.000    -1.000     1.000129361.000     1.030
     0.272     0.070     0.259     0.286     0.238     0.235     0.545     0.520     0.360     0.269     0.161     0.517     0.091     0.167     0.278     0.214    29.000    -1.000    -1.000129362.000     2.124
     0.282     0.140     0.333     0.143     0.254     0.235     0.212     0.480     0.300     0.269     0.226     0.207     0.227     0.917     0.222     0.286    20.000    -1.000     1.000129363.000     1.846
     0.136     0.093     0.407     0.071     0.063     0.279     0.273     0.280     0.220     0.038     0.097     0.379     0.182     0.333     0.278     0.143    22.000    -1.000     1.000129364.000     1.641
     0.058     0.093     0.148     0.036     0.032     0.132     0.030     0.360     0.060     0.000     0.032     0.207     0.136     0.417     0.167     0.286    20.000    -1.000     1.000129365.000     1.276
     0.718     0.465     0.852     0.607     0.667     0.765     0.758     0.760     0.780     0.654     0.742     0.655     0.500     0.667     0.778     0.643    27.000    -1.000    -1.000129366.000     3.657
     0.000     0.000     0.037     0.036     0.000     0.000     0.000     0.240     0.000     0.000     0.000     0.103     0.000     0.417     0.056     0.000    21.000    -1.000    -1.000129367.000     1.035
     0.466     0.884     0.481     0.536     0.635     0.691     0.455     0.680     0.700     0.231     0.613     0.655     0.682     0.583     0.667     0.571    28.000    -1.000    -1.000129368.000     3.309
     0.000     0.023     0.000     0.000     0.000     0.000     0.000     0.040     0.000     0.000     0.000     0.000     0.000     0.083     0.000     0.000    21.000    -1.000    -1.000129369.000     0.948
     0.107     0.512     0.481     0.357     0.032     0.441     0.212     0.400     0.400     0.154     0.161     0.448     0.182     0.500     0.556     0.357    23.000    -1.000     1.000129370.000     2.095
     0.155     0.023     0.148     0.000     0.000     0.088     0.000     0.360     0.040     0.000     0.000     0.172     0.136     0.750     0.222     0.000    20.000    -1.000     1.000129371.000     1.198
     0.165     0.349     0.815     0.500     0.222     0.309     0.182     0.400     0.280     0.231     0.161     0.138     0.182     0.500     0.500     0.357    29.000    -1.000    -1.000129372.000     2.151
     0.893     0.395     0.926     0.321     0.857     0.765     0.788     0.960     0.880     0.115     0.613     0.655     0.591     0.583     0.444     0.786    26.000    -1.000     1.000129373.000     3.528
     0.000     0.070     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.417     0.111     0.071    17.000    -1.000    -1.000129374.000     0.960
     0.039     0.233     0.222     0.143     0.095     0.132     0.091     0.200     0.060     0.038     0.097     0.172     0.000     0.667     0.333     0.500    25.000    -1.000    -1.000129375.000     1.505
     0.049     0.163     0.259     0.107     0.048     0.088     0.000     0.240     0.060     0.077     0.000     0.069     0.045     0.333     0.167     0.071    17.000    -1.000     1.000129376.000     1.172
     0.019     0.186     0.111     0.214     0.048     0.176     0.000     0.360     0.060     0.038     0.065     0.207     0.000     0.750     0.278     0.071    16.000    -1.000    -1.000129377.000     1.334
     0.000     0.023     0.000     0.000     0.000     0.000     0.000     0.240     0.000     0.000     0.000     0.103     0.000     0.417     0.056     0.000    16.000    -1.000    -1.000129378.000     0.975
     0.068     0.163     0.111     0.000     0.048     0.118     0.061     0.160     0.140     0.000     0.065     0.207     0.136     0.167     0.222     0.214    29.000    -1.000     1.000129379.000     1.379
     0.252     0.140     0.481     0.143     0.175     0.279     0.121     0.680     0.280     0.154     0.065     0.241     0.136     0.500     0.222     0.214    20.000    -1.000    -1.000129380.000     1.761
     0.175     0.163     0.407     0.286     0.143     0.250     0.061     0.440     0.220     0.000     0.161     0.414     0.091     0.417     0.278     0.286    21.000    -1.000     1.000129381.000     1.712
     0.029     0.070     0.111     0.071     0.063     0.074     0.000     0.200     0.060     0.000     0.097     0.172     0.045     0.417     0.111     0.214    22.000    -1.000    -1.000129382.000     1.253
     0.515     0.535     0.444     0.607     0.603     0.750     0.394     0.520     0.640     0.615     0.516     0.310     0.409     0.250     0.944     0.500    28.000    -1.000    -1.000129383.000     3.153
     0.194     0.674     0.741     0.393     0.254     0.353     0.152     0.400     0.360     0.269     0.419     0.448     0.182     0.917     0.500     0.500    17.000    -1.000     1.000129384.000     2.256
     0.893     0.558     0.741     0.536     0.651     0.662     0.636     0.800     0.740     0.692     0.452     0.828     0.500     0.833     0.556     0.714    26.000    -1.000     1.000129385.000     3.440
     0.010     0.000     0.037     0.000     0.000     0.000     0.000     0.200     0.000     0.000     0.000     0.069     0.000     0.667     0.000     0.000    17.000    -1.000     1.000129386.000     0.931
     0.019     0.047     0.000     0.036     0.000     0.132     0.000     0.240     0.040     0.000     0.000     0.103     0.000     0.500     0.222     0.071    16.000    -1.000     1.000129387.000     1.073
     0.078     0.070     0.259     0.107     0.048     0.206     0.091     0.600     0.120     0.038     0.000     0.241     0.091     0.500     0.167     0.357    19.000    -1.000     1.000129388.000     1.420
     0.000     0.070     0.074     0.036     0.000     0.088     0.000     0.240     0.080     0.000     0.032     0.103     0.000     0.333     0.000     0.000    21.000    -1.000    -1.000129389.000     1.110
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.160     0.000     0.000     0.000     0.103     0.000     0.083     0.000     0.071    16.000    -1.000     1.000129390.000     0.909
     0.039     0.093     0.185     0.107     0.079     0.074     0.000     0.160     0.080     0.077     0.000     0.207     0.000     0.417     0.111     0.286    26.000    -1.000     1.000129391.000     1.271
     0.282     0.651     0.852     0.500     0.413     0.735     0.515     0.600     0.580     0.308     0.323     0.448     0.364     0.417     0.667     0.786    22.000    -1.000    -1.000129392.000     2.922
     0.718     0.837     0.704     0.429     0.683     0.544     0.667     0.680     0.840     0.154     0.581     0.103     0.091     0.000     0.278     0.571    29.000    -1.000     1.000129393.000     3.024
     0.029     0.047     0.000     0.107     0.000     0.059     0.000     0.240     0.000     0.038     0.000     0.069     0.091     0.167     0.111     0.214    24.000    -1.000     1.000129394.000     1.139
     0.087     0.116     0.185     0.071     0.048     0.206     0.061     0.240     0.040     0.000     0.129     0.069     0.045     0.167     0.389     0.143    23.000    -1.000    -1.000129395.000     1.389
     0.534     0.651     0.741     0.679     0.397     0.838     0.788     0.680     0.820     0.346     0.548     0.448     0.409     0.583     0.889     0.786    28.000    -1.000    -1.000129396.000     3.488
     0.049     0.256     0.407     0.321     0.032     0.456     0.636     0.800     0.340     0.154     0.323     0.276     0.364     0.667     0.500     0.429    20.000    -1.000    -1.000129397.000     2.282
     0.010     0.047     0.148     0.000     0.032     0.015     0.030     0.000     0.060     0.000     0.000     0.069     0.000     0.333     0.056     0.071    19.000    -1.000     1.000129398.000     1.008
     0.447     0.302     0.370     0.429     0.365     0.529     0.455     0.560     0.500     0.423     0.258     0.517     0.545     0.500     0.444     0.286    29.000    -1.000    -1.000129399.000     2.677
     0.049     0.116     0.259     0.107     0.016     0.147     0.030     0.360     0.060     0.115     0.065     0.138     0.045     0.500     0.278     0.214    21.000    -1.000     1.000129400.000     1.335
     0.165     0.209     0.370     0.179     0.095     0.279     0.485     0.240     0.300     0.038     0.129     0.207     0.182     0.417     0.333     0.500    25.000    -1.000     1.000129401.000     1.885
     1.000     0.791     0.667     0.750     0.365     0.897     0.909     0.920     0.880     0.615     1.000     0.552     0.773     1.000     0.944     0.929    29.000    -1.000     1.000129402.000     4.092
