ID	S_CONJ	S_HELPV	S_PRON	S_QUANT	S_QWORDS	S_TIME	S_WF_N	S_WF_V	S_WE_N	S_WE_V	S_COMPLX	L_ACTION	L_ANIMAL	L_BODYP	L_CLOTH	L_DESCRB	L_FOOD	L_ROOMS	L_GAMES	L_HOUSEH	L_LOCATE	L_OUTSDE	L_PEOPLE	L_PLACES	L_SOUNDS	L_TOYS	L_VEHICL	FIRST_B	MALE
130177	0	0.0476190476190476	0.16	0.117647058823529	0	0	0.4	0.15	0	0	0	0.16504854368932	0.209302325581395	0.481481481481481	0.357142857142857	0.0952380952380952	0.397058823529412	0.0909090909090909	0.4	0.28	0.269230769230769	0.290322580645161	0.448275862068966	0.136363636363636	0.75	0.444444444444444	0.142857142857143	-1	-1
130178	0	0	0.04	0.0588235294117647	0	0	0.4	0	0	0	0	0.0388349514563107	0.534883720930233	0.592592592592593	0.464285714285714	0.0317460317460317	0.264705882352941	0.393939393939394	0.4	0.38	0.0769230769230769	0.258064516129032	0.206896551724138	0.227272727272727	0.666666666666667	0.333333333333333	0.642857142857143	-1	-1
130179	0	0	0.16	0.117647058823529	0.142857142857143	0.166666666666667	0.6	0.2	0.214285714285714	0.129032258064516	0.027027027027027	0.16504854368932	0.418604651162791	0.814814814814815	0.285714285714286	0.238095238095238	0.235294117647059	0.606060606060606	0.6	0.32	0.192307692307692	0.419354838709677	0.344827586206897	0.409090909090909	0.666666666666667	0.444444444444444	0.571428571428571	1	-1
130180	0.666666666666667	0.523809523809524	0.52	0.352941176470588	0.285714285714286	0.333333333333333	0.4	0.2	0.214285714285714	0.0967741935483871	0.594594594594595	0.883495145631068	0.883720930232558	0.962962962962963	0.678571428571429	0.761904761904762	0.823529411764706	0.818181818181818	1	0.92	0.576923076923077	0.838709677419355	0.724137931034483	0.818181818181818	1	0.888888888888889	0.857142857142857	-1	-1
130181	0	0.19047619047619	0.2	0.0588235294117647	0.428571428571429	0.416666666666667	0	0	0	0	0.108108108108108	0.563106796116505	0.348837209302326	0.296296296296296	0.357142857142857	0.253968253968254	0.338235294117647	0.484848484848485	0.64	0.5	0.230769230769231	0.290322580645161	0.379310344827586	0.272727272727273	0.333333333333333	0.388888888888889	0.5	-1	1
130182	0.166666666666667	0.619047619047619	0.56	0.352941176470588	0.571428571428571	0.583333333333333	0.6	0.65	0.214285714285714	0.193548387096774	0.567567567567568	0.631067961165049	0.930232558139535	0.888888888888889	0.857142857142857	0.619047619047619	0.882352941176471	0.636363636363636	0.88	0.84	0.5	0.645161290322581	0.586206896551724	0.590909090909091	1	0.833333333333333	0.928571428571429	-1	-1
130183	0.166666666666667	0.380952380952381	0.44	0.647058823529412	0.571428571428571	0.833333333333333	0.4	0.35	0.0714285714285714	0.0645161290322581	0.702702702702703	0.912621359223301	1	0.962962962962963	1	0.873015873015873	0.926470588235294	0.909090909090909	1	0.92	0.692307692307692	0.838709677419355	0.896551724137931	0.727272727272727	0.833333333333333	0.944444444444444	1	1	-1
130184	0	0.19047619047619	0.44	0.647058823529412	0.428571428571429	0.75	0.4	0.5	0	0.225806451612903	0.216216216216216	0.961165048543689	0.697674418604651	0.925925925925926	1	0.888888888888889	0.955882352941177	0.939393939393939	0.96	0.96	0.653846153846154	0.935483870967742	0.689655172413793	0.681818181818182	0.583333333333333	0.944444444444444	0.785714285714286	-1	-1
130185	1	1	0.96	1	1	1	0.6	1	0.142857142857143	0	0.972972972972973	1	1	0.925925925925926	1	0.968253968253968	0.955882352941177	0.96969696969697	1	0.98	0.692307692307692	1	1	0.863636363636364	1	0.944444444444444	0.928571428571429	1	-1
130186	0.5	1	1	0.882352941176471	1	1	1	1	0.571428571428571	0.0967741935483871	0.72972972972973	0.990291262135922	0.837209302325581	0.962962962962963	0.964285714285714	0.936507936507937	0.985294117647059	1	0.96	1	0.884615384615385	1	1	1	0.833333333333333	1	1	1	-1
