     0.592     0.279     0.704     0.429     0.603     0.603     0.576     1.000     0.700     0.308     0.484     0.586     0.591     1.000     0.611     0.571     0.167     0.429     0.400     0.294     0.429     0.417     0.400     0.600     0.071     0.065     0.351     1.000    -1.000    -1.000     2.000     4.000     4.000     2.000129264.000     0.411
     0.883     0.698     0.519     0.464     0.841     0.559     0.576     0.920     0.700     0.500     0.387     0.586     0.636     0.833     0.611     0.786     0.667     0.524     0.800     0.294     0.857     1.000     0.400     0.600     0.143     0.000     0.162     1.000    -1.000    -1.000     5.000    25.000    25.000     5.000129265.000     0.811
     0.330     0.186     0.481     0.321     0.222     0.338     0.485     0.480     0.360     0.154     0.194     0.414     0.273     0.583     0.500     0.286     0.167     0.190     0.080     0.176     0.286     0.083     0.200     0.200     0.143     0.032     0.000    -1.000    -1.000    -1.000    -2.000    -4.000     4.000     2.000129266.000    -0.666
     0.466     0.209     0.593     0.179     0.476     0.426     0.152     0.960     0.420     0.077     0.097     0.828     0.364     0.250     0.556     0.071     0.000     0.190     0.160     0.176     0.143     0.083     0.400     0.250     0.143     0.000     0.459    -1.000    -1.000    -1.000    -1.000    -1.000     1.000     1.000129267.000    -0.431
     0.942     0.605     0.963     0.714     0.778     0.765     0.333     1.000     0.960     1.000     0.839     0.897     0.682     0.750     0.944     0.786     1.000     1.000     0.960     0.882     1.000     1.000     0.400     0.950     0.071     0.226     0.784    -1.000    -1.000    -1.000     5.000   -25.000    25.000    -5.000129268.000     1.733
     0.913     0.767     0.926     0.643     0.810     0.941     0.879     0.960     0.940     0.423     0.806     0.586     0.545     0.917     0.833     0.929     0.167     0.190     0.200     0.529     0.000     0.500     0.800     0.350     0.000     0.000     0.162     1.000     1.000    -1.000     0.000     0.000     0.000     0.000129269.000     1.078
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.920     1.000     1.000     1.000     0.793     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.946    -1.000    -1.000    -1.000     1.000    -1.000     1.000    -1.000129270.000     2.567
     0.029     0.093     0.259     0.071     0.000     0.059     0.152     0.160     0.100     0.077     0.097     0.000     0.000     0.917     0.278     0.143     0.000     0.095     0.000     0.059     0.000     0.000     0.000     0.000     0.143     0.000     0.000    -1.000    -1.000    -1.000    -7.000   -49.000    49.000     7.000129271.000    -1.590
     0.330     0.651     0.667     0.250     0.492     0.471     0.273     0.920     0.300     0.423     0.290     0.621     0.364     0.833     0.444     0.214     0.167     0.333     0.320     0.353     0.286     0.333     0.400     0.250     0.214     0.097     0.162    -1.000    -1.000    -1.000     0.000     0.000     0.000     0.000129272.000    -0.189
     0.117     0.628     0.889     0.393     0.175     0.544     0.242     0.840     0.520     0.000     0.258     0.414     0.455     0.583     0.500     0.286     0.000     0.048     0.160     0.059     0.000     0.083     0.400     0.050     0.000     0.000     0.270    -1.000    -1.000    -1.000     1.000    -1.000     1.000    -1.000129273.000    -0.536
     0.126     0.535     0.741     0.179     0.143     0.485     0.242     0.440     0.200     0.077     0.161     0.207     0.273     0.833     0.278     0.429     0.333     0.095     0.080     0.059     0.286     0.000     0.400     0.050     0.000     0.032     0.135     1.000    -1.000    -1.000     0.000     0.000     0.000     0.000129274.000    -0.927
     0.029     0.140     0.074     0.036     0.079     0.103     0.030     0.480     0.020     0.000     0.000     0.207     0.182     0.750     0.167     0.143     0.000     0.048     0.040     0.059     0.000     0.000     0.200     0.000     0.000     0.000     0.027     1.000    -1.000    -1.000     1.000     1.000     1.000     1.000129275.000    -1.618
     0.049     0.070     0.296     0.071     0.000     0.118     0.030     0.360     0.040     0.000     0.000     0.034     0.000     1.000     0.111     0.214     0.000     0.000     0.040     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -1.000    -1.000    -1.000    -8.000   -64.000    64.000     8.000129276.000    -1.659
     0.000     0.000     0.148     0.036     0.016     0.015     0.000     0.240     0.000     0.000     0.000     0.138     0.000     0.417     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -1.000    -1.000    -1.000    -5.000   -25.000    25.000     5.000129277.000    -1.841
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.034     0.000     0.250     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    -1.000     1.000    -6.000    36.000    36.000    -6.000129278.000    -1.942
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.080     0.000     0.000     0.000     0.103     0.000     0.250     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    -1.000    -1.000    -7.000    49.000    49.000    -7.000129279.000    -1.913
     0.010     0.116     0.074     0.036     0.048     0.118     0.000     0.240     0.040     0.000     0.032     0.207     0.091     0.500     0.167     0.071     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    -1.000    -1.000    -6.000    36.000    36.000    -6.000129280.000    -1.687
     0.049     0.000     0.185     0.000     0.000     0.000     0.000     0.280     0.000     0.000     0.000     0.103     0.000     0.167     0.222     0.071     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -1.000    -1.000    -1.000    -5.000   -25.000    25.000     5.000129281.000    -1.803
     0.738     0.512     0.926     0.500     0.508     0.838     0.636     0.960     0.700     0.231     0.548     0.448     0.682     0.583     0.778     0.714     0.000     0.048     0.120     0.059     0.286     0.167     0.400     0.100     0.000     0.000     0.297    -1.000    -1.000    -1.000    -1.000    -1.000     1.000     1.000129282.000     0.367
     0.000     0.070     0.037     0.071     0.000     0.000     0.000     0.080     0.000     0.115     0.000     0.207     0.000     0.583     0.000     0.071     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000    -1.000    -1.000    -8.000    64.000    64.000    -8.000129283.000    -1.799
     0.068     0.419     0.259     0.071     0.032     0.471     0.242     0.160     0.260     0.000     0.065     0.172     0.045     0.833     0.222     0.071     0.000     0.000     0.040     0.000     0.000     0.000     0.200     0.000     0.000     0.000     0.000    -1.000    -1.000    -1.000    -1.000    -1.000     1.000     1.000129284.000    -1.369
     0.068     0.186     0.296     0.107     0.079     0.118     0.061     0.440     0.080     0.038     0.161     0.241     0.091     0.667     0.389     0.286     0.167     0.048     0.120     0.000     0.000     0.167     0.200     0.050     0.000     0.000     0.054    -1.000    -1.000    -1.000    -4.000   -16.000    16.000     4.000129285.000    -1.334
     0.107     0.326     0.667     0.214     0.127     0.485     0.303     0.480     0.260     0.423     0.387     0.276     0.364     1.000     0.556     0.571     0.167     0.238     0.280     0.176     0.286     0.250     0.400     0.300     0.500     0.032     0.243     1.000    -1.000    -1.000     4.000    16.000    16.000     4.000129286.000    -0.547
     0.728     0.116     0.148     0.036     0.778     0.074     0.879     0.840     0.960     0.500     0.645     0.690     0.227     0.083     0.056     0.071     0.333     0.476     0.240     0.353     0.143     0.000     0.600     0.450     0.357     0.065     0.054     1.000    -1.000    -1.000    -2.000     4.000     4.000    -2.000129287.000     0.045
     0.078     1.000     0.667     0.536     0.079     1.000     0.636     0.480     0.620     0.000     0.645     0.621     0.682     0.833     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.400     0.000     0.357     0.000     0.054     1.000    -1.000    -1.000     6.000    36.000    36.000     6.000129288.000     0.028
     0.097     0.395     0.333     0.214     0.127     0.279     0.182     0.480     0.140     0.231     0.065     0.241     0.227     1.000     0.333     0.143     0.000     0.000     0.160     0.059     0.143     0.083     0.200     0.050     0.000     0.000     0.081    -1.000    -1.000    -1.000     1.000    -1.000     1.000    -1.000129289.000    -1.155
     0.291     0.000     0.741     0.393     0.333     0.500     0.333     0.600     0.440     0.038     0.194     0.379     0.227     0.000     0.333     0.714     0.167     0.238     0.640     0.176     0.714     0.333     0.000     0.100     0.286     0.032     0.108     1.000    -1.000     1.000    -1.000     1.000     1.000    -1.000129290.000    -0.458
     0.233     0.535     0.481     0.500     0.095     0.324     0.273     0.360     0.440     0.077     0.387     0.241     0.182     0.750     1.000     0.500     0.000     0.000     0.040     0.118     0.000     0.167     0.400     0.000     0.000     0.000     0.027     1.000    -1.000    -1.000    -3.000     9.000     9.000    -3.000129291.000    -0.668
     0.165     0.163     0.222     0.107     0.079     0.147     0.030     0.320     0.100     0.115     0.065     0.138     0.000     0.167     0.222     0.071     0.000     0.238     0.200     0.000     0.000     0.250     0.200     0.000     0.000     0.032     0.081    -1.000    -1.000    -1.000    -1.000    -1.000     1.000     1.000129292.000    -1.463
