CandID,Candidate_Age,Date_taken,sibling1_age,sibling2_age,sibling3_age,sibling4_age,sibling5_age,sibling6_age
727002,19.1,2015-09-23,3,NA,NA,NA,NA,NA
970835,17,2015-09-23,1,NA,NA,NA,NA,NA
917947,18.9,2015-09-23,5,NA,NA,NA,NA,NA
651035,19.8,2015-09-23,13,3,NA,NA,NA,NA
214395,18.2,2015-09-23,5,NA,NA,NA,NA,NA
987724,18.7,2015-09-23,1.5,NA,NA,NA,NA,NA
738656,20.3,2015-09-23,4,NA,NA,NA,NA,NA
707785,18.7,2015-09-23,1,NA,NA,NA,NA,NA
299098,20.5,2015-09-23,3,NA,NA,NA,NA,NA
291933,18.3,2015-09-23,8,6,NA,NA,NA,NA
514992,17.9,2015-09-23,7,9,NA,NA,NA,NA
118982,19.3,2015-09-23,6,NA,NA,NA,NA,NA
857470,17.4,2015-09-23,3,NA,NA,NA,NA,NA
615268,17.1,2015-09-23,3,NA,NA,NA,NA,NA
597847,19.6,2015-09-23,24,23,21,5,NA,NA
342271,18.4,2015-09-23,7,4,NA,NA,NA,NA
842682,20.2,2015-09-23,3,NA,NA,NA,NA,NA
436404,17.3,2015-09-23,3,NA,NA,NA,NA,NA
309997,18.8,2015-09-23,3,NA,NA,NA,NA,NA
892164,17.9,2015-09-23,4,NA,NA,NA,NA,NA
189941,19.2,2015-09-23,4,NA,NA,NA,NA,NA
947152,18.5,2015-09-23,3,NA,NA,NA,NA,NA
147072,18.5,2015-09-23,3,NA,NA,NA,NA,NA
301517,17.1,2015-09-23,4,NA,NA,NA,NA,NA
103917,20.5,2015-09-23,3,1,NA,NA,NA,NA
500615,17.9,2015-09-23,7,4,NA,NA,NA,NA
332045,19.9,2015-09-23,5,4,NA,NA,NA,NA
778738,19,2015-09-23,4,NA,NA,NA,NA,NA
351028,17.1,2015-09-23,6,4,NA,NA,NA,NA
636209,19.9,2015-09-23,15,NA,NA,NA,NA,NA
866297,19.7,2015-09-23,11,9,NA,NA,NA,NA
234057,18.6,2015-09-23,3.5,NA,NA,NA,NA,NA
208568,19.5,2015-09-23,3,NA,NA,NA,NA,NA
845698,17.8,2015-09-23,15,5,4,NA,NA,NA
991608,17.9,2015-09-23,4,NA,NA,NA,NA,NA
662667,19.4,2015-09-23,4,NA,NA,NA,NA,NA
709740,17.1,2015-09-23,3,NA,NA,NA,NA,NA
758507,18.9,2015-09-23,3,NA,NA,NA,NA,NA
624568,20.4,2015-09-23,3,NA,NA,NA,NA,NA
581753,18.7,2015-09-23,5,NA,NA,NA,NA,NA
